=== gen_modules.py run started 2026-06-16 12:54:44 ===
[12:54:44] INFO  Pool      : generated3
[12:54:44] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated3
[12:54:44] INFO  Max hours : 8.0  |  Target modules: 500
[12:54:44] INFO  Seed      : None
[12:54:44] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[12:54:44] INFO  No gallery_ratings.json found — using default weights
[12:54:44] INFO  Starting — initial threshold 0.58
[12:54:44] INFO  Phases: [(0, 0.58), (500, 0.87), (700, 0.91)]
[12:54:44] INFO  SAVE # 144 | score=0.928 str=free               | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 145 | score=0.928 str=room_small_corn    | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 146 | score=0.910 str=free               | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 147 | score=0.929 str=alcove             | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 148 | score=0.892 str=corner_room        | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE # 149 | score=0.929 str=alcove             | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 150 | score=0.870 str=hub_center         | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 151 | score=0.887 str=room_small_corn    | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 152 | score=0.947 str=alcove             | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 153 | score=0.865 str=two_rooms          | ent=1 (W      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 154 | score=0.933 str=free               | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 155 | score=0.929 str=free               | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[12:54:44] INFO  SAVE # 156 | score=0.796 str=room_with_walls    | ent=1 (E      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 157 | score=0.918 str=corridor_hub       | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[12:54:44] INFO  SAVE # 158 | score=0.947 str=alcove             | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 159 | score=0.910 str=corner_room        | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 160 | score=0.947 str=alcove             | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 161 | score=0.883 str=hub_center         | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 162 | score=0.928 str=room_small_corn    | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 163 | score=0.886 str=room_wide          | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 164 | score=0.929 str=alcove             | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 165 | score=0.924 str=free               | ent=3 (S,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[12:54:44] INFO  SAVE # 166 | score=0.929 str=alcove             | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 167 | score=0.919 str=four_rooms         | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 168 | score=0.955 str=room_small_ctr     | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
